occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color,NDVI
6,Vespa crabro,NA,"Hoofdweg, Loenen, Gelderland, NL",inat,6.03,52.13,0.9595292091369628,817,20,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.6200041666666667
8,Vespa crabro,NA,"07 Hainspitz, Deutschland",inat,11.83,50.96,0.8699322700500488,641,304,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E,0.3388125
10,Vespa crabro,NA,"Roecklplatz, 80469 München, Deutschland",inat,11.57,48.12,0.8841385841369629,1006,526,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.4343416666666667
11,Vespa crabro,NA,"Timișoara, Romania",inat,21.26,45.78,1.0678229331970217,589,94,195,Warm Temperate,Dry,Forest,Plains,Warm Temperate Dry,94,186,42,Warm Temperate Dry Forest on Plains,#5EBA2A,0.6926916666666667
13,Vespa crabro,NL,NA,gbif,3.8,51.2,1.0463364601135254,769,6,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702,0.5540041666666666
16,Vespa crabro,NA,"Bergivaux, 57130 Ancy-Dornot, France",inat,6.05,49.05,0.989382266998291,773,254,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.5396541666666667
19,Vespa crabro,GB,NA,gbif,-1.33,50.92,1.0439030647277832,782,51,166,Warm Temperate,Moist,Forest,Plains,Warm Temperate Moist,45,158,6,Warm Temperate Moist Forest on Plains,#2D9E06,0.39864166666666667
24,Vespa crabro,NL,NA,gbif,5.65,51.2,0.9874073028564452,732,35,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5893625
26,Vespa crabro,NL,NA,gbif,5.9,52.2,0.9391374588012696,876,62,105,Cool Temperate,Moist,Forest,Hills,Cool Temperate Moist,2,99,1,Cool Temperate Moist Forest on Hills,#026301,0.6555541666666667
31,Vespa crabro,FR,NA,gbif,-0.61,43.17,1.3609167098999024,1260,243,172,Warm Temperate,Moist,Settlement,Mountains,Warm Temperate Moist,105,89,18,Warm Temperate Moist Settlement on Mountains,#695912,0.6873416666666666
34,Vespa crabro,CZ,NA,gbif,14.27,50,0.8207864761352539,525,363,102,Cool Temperate,Moist,Cropland,Tablelands,Cool Temperate Moist,99,97,160,Cool Temperate Moist Cropland on Tablelands,#6361A0,0.6085416666666666
37,Vespa crabro,NA,"23018 Talamona SO, Italia",inat,9.63,46.14,0.6013031005859375,1022,664,171,Warm Temperate,Moist,Grassland,Mountains,Warm Temperate Moist,86,129,14,Warm Temperate Moist Grassland on Mountains,#56810E,0.7923541666666667
38,Vespa crabro,NA,"Eure, Haute-Normandie, FR",inat,0.97,48.91,1.0121155738830567,679,175,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.3200625
39,Vespa crabro,NA,"Bad Wilsnacker Straße, Bad Wilsnack, Brandenburg, DE",inat,11.86,52.96,0.9347749710083008,573,24,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.3557
40,Vespa crabro,NL,NA,gbif,6.2,52.65,0.9588500022888184,798,-4,128,Cool Temperate,Moist,Grassland,Plains,Cool Temperate Moist,22,133,0,Cool Temperate Moist Grassland on Plains,#168500,0.49435
41,Vespa crabro,NA,Hünxe,inat,6.74,51.66,1.0405062675476071,802,34,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A,0.5614166666666667
