"longitude","latitude"
4.95,51.6
6.3,52.1
5.7,50.8
4.46452,51.16123
4.36451,50.84305
4.85,52.6
6.504383,49.849716
9.462732,51.166996
3.86255,51.02507
3.14244,51.18484
4.43842,51.21244
28.890339,61.443361
3.95607,51.17411
3.9,51.8
4.4687,51.37876
4.277501,50.972319
13.742552,52.450592
11.602189,50.931427
-1.70052,42.785218
4.75,51.55
3.11481,51.17372
7.53794,47.37829
3.83694,50.88668
4.55,51.5
4.45632,51.12983
8.248434,49.497158
6.25,52.2
7.401583,49.349437
3.19549,50.93661
4.4312,51.2512
2.55551,51.07663
5.44026,50.76606
0.808964,51.177818
3.6,51.5
5.5,52.3
4.40907,51.16342
5.893949,49.778041
3.139826,50.951702
4.80193,51.39864
7.160456,50.721931
13.772586,51.076946
4.20393,50.90383
4.65,51.55
4.44081,51.18334
16.04769,60.45826
3.20411,51.22785
5.2,52.15
13.20524,51.714241
7.73606,47.28801
4.00454,51.02502
12.082278,49.054369
4.97091,50.98045
2.367469,48.830219
13.198783,43.571839
4.49271,50.85038
3.27318,51.3495
0.68948,44.45712
6.17545,46.20188
5.4,51.5
4.97488,50.22319
3.16828,51.16844
4.51209,51.224
16.66798,59.54143
4.24688,51.01581
7.607063,51.003765
4.44132,51.22095
6.795889,50.839661
4.441212,50.628519
4.037839,46.831274
4.47271,50.85979
-7.4491,40.799428
5.05,51.5
4.51381,51.43064
16.445809,47.310702
6.75,53
3.8498,50.89041
10.246633,52.52964
8.539292,51.869308
5.5,52
3.79955,51.0289
11.931013,43.353592
5.4,51.95
5.75,50.8
5.17948,50.32631
6.920355,50.602978
4.02888,50.83895
7.509156,45.06783
5.1,52.05
15.783855,47.424367
21.064459,60.468186
5.32079,50.95648
4.116917,50.476976
3.76725,51.05147
5.45,51.95
5.57652,51.00097
3.19041,51.1974
5.65,51.95
4.85,52.4
4.31557,50.92254
0.075934,51.449495
4.28346,51.07713
3.22687,50.80324
-0.951251,51.276397
5.05,52.15
5.45,51.45
4.105271,50.502997
4.370235,50.675317
6.74871,46.97149
3.55,51.55
4.44764,50.8311
4.65215,50.77548
4.498528,51.02037
4.73626,51.07512
4.65,51.45
3.76696,50.84554
3.64909,50.974227
4.702981,48.557767
8.921762,47.798088
3.83111,43.60667
3.59395,50.79765
7.287573,51.503571
4.49563,50.99608
5.32679,50.90994
6.35,51.95
6.75,52.25
8.263501,48.042549
6.9,52.3
12.358938,51.271854
4.75623,51.39671
4.48389,51.01693
9.692779,47.922668
4.49223,51.12598
4.85531,51.17523
4.82789,50.74347
4.71653,50.9471
5.45,51.4
3.06167,50.88721
4.3,52.1
-9.093866,38.833343
9.902292,49.054661
3.25659,50.83252
3.01243,50.89697
6.71454,49.690609
5.65,51.3
14.125065,52.303646
4.6,51.55
5.05,51.6
5.95,52.2
5.043363,44.160334
9.959,51.537998
7.683928,49.474678
3.77166,51.06595
5.1,51.55
4.84203,51.18168
7,53
3.73821,51.04735
3.80548,51.20025
4.47207,51.29797
3.52555,50.9954
8.888049,49.977253
5.08539,51.13662
6.15,52.8
4.59808,50.67574
3.30035,50.80833
9.045721,59.418665
1.177861,41.317436
26.494353,58.254197
4.667222,50.907882
3.22443,51.1956
3.68234,50.77501
5.9,51.7
11.360751,60.112735
2.91169,51.22911
7.858675,47.938556
4.675866,50.855369
5.85,51.1
4.54488,51.16974
2.70266,51.106
10.206494,52.043327
5.81806,49.752545
4.15263,50.45261
6.193117,50.709378
7.07276,51.098186
-2.984571,51.356629
3.45,51.3
8.647328,50.003841
4.876705,51.304441
6.387777,50.740582
2.59155,48.79704
3.77987,50.95733
3.57745,51.16172
5.2,51.55
4.79954,50.86536
2.62373,50.85908
4.71287,51.30928
-3.58226,51.55779
5.35,51.7
4.680379,50.913838
5.95,52.2
6.24397,51.17532
5.25,52
4,51.35
4.722694,50.717684
6.15,51.45
3.2316,51.1426
6.23624,46.38248
4.0375,50.82381
3.41649,51.10967
15.87864,56.75949
4.00694,51.01902
4.18709,51.25558
3.17101,51.13001
6.1,51.9
3.04933,51.17466
5.9,51.8
4.6473,50.88974
4.321318,50.682877
4.738881,50.938333
6.35,51.95
4.3798,50.79331
4.87748,51.16987
4.25735,50.34743
5.18717,51.18034
11.540623,46.554375
6.1,52.5
18.47019,60.10963
4.52794,51.03015
9.864878,53.527249
3.94592,50.95835
3.27846,50.85336
4.26099,51.2191
4.41459,50.82939
6.94063,51.165945
4.329804,50.742598
8.205165,49.593525
28.927854,45.253949
3.76624,51.10348
13.033896,47.777161
2.825263,50.782605
2.722135,50.852261
7.53802,47.42326
3.44918,50.91695
6.17545,46.20188
10.031938,51.543303
4.44212,50.86448
7.67113,47.55798
5.85,51
4.97895,51.06992
4.891869,51.103015
5.1,51.65
0.62025,51.579297
6.4,53.15
5.34424,50.93065
