id,occurrence_id,latitude,longitude
1,2463,52.9,6.25
2,2227,53.1,6.04
3,526,52.42,22.44
4,195,52.4,6.8
5,1842,51.7,0.25
6,1142,52,5.5
7,1253,51.85,5.8
8,1268,51.03,3.76
9,1038,51.85,4.45
10,665,52.3,6.05
11,1627,50.03,16.54
12,1011,47.27,11.37
13,1115,52.15,5
14,953,47.43,9.13
15,348,52.08,23.67
16,1017,52.05,5.65
17,2013,52.2,6.8
18,1379,53.49,12.89
19,2074,52.65,6.25
20,1450,50.94,-0.28
21,1673,46.79,15.89
22,1790,51.78,10.95
23,211,51.45,3.9
24,1614,52.15,5.9
25,555,36.89,-2.61
26,1895,60.46,21.71
27,373,47.7,1.58
28,1167,52.32,14.64
29,1799,52.5,4.6
30,905,50.12,8.65
31,1866,61.05,28.09
32,1047,50.64,13.86
33,309,48.84,2.43
34,1248,50.96,11.04
35,166,49.52,0.72
36,217,52.15,5.35
37,1314,52.7,6.45
38,2120,54.75,9.27
39,588,52.03,9.77
40,1599,52.27,10.92
41,141,48.39,16.3
42,722,47.5,7.57
43,153,52.25,5.1
44,294,40.82,17.22
45,277,45.78,4.88
46,1487,51.59,-0.44
47,41,51.55,4.6
48,2138,45.55,17.71
49,316,49.41,8.19
50,1183,48.48,8.93
51,752,51.87,0.48
52,374,49.53,11.35
53,2496,46.82,15.91
54,2033,50.96,11.83
55,2082,53.56,-2.68
56,516,51.18,7.12
57,13,49.05,8.86
58,2117,50.02,9.8
59,2038,41.77,-8.59
60,1919,51.75,5.7
61,755,48.91,9.19
62,1332,51.2,3.8
63,1113,57.66,11.7
64,1006,48.61,22.26
65,2339,52.1,6.15
66,1448,50.01,9.75
67,671,47.7,23.57
68,2169,51.46,-2.7
69,1134,51.11,-1.53
70,1088,48.73,8.25
71,1507,53.05,6.65
72,1934,47.79,0.97
73,1501,47,15.94
74,480,52.25,6.75
75,2115,52.44,1.66
76,1914,51.81,0.57
77,1871,51.43,-1.14
78,1109,52.29,-2.07
79,165,48.61,9.36
80,1075,49.66,6.11
81,1386,51.95,5.8
82,2284,50.54,8.69
83,610,53,5.6
84,2378,52.75,6.7
85,127,52.34,-2.24
86,2260,44.05,8.13
87,686,47.1,15.48
88,1982,47.32,18.95
89,931,52.55,4.6
90,2291,50.41,-4.11
91,847,48.62,0.62
92,983,51.8,5.85
93,619,49.48,7.77
94,1927,52.5,14.58
95,477,44.4,10.88
96,1999,49.95,9.07
97,151,51.85,6.64
98,1638,52.35,20.95
99,2208,52.05,5.1
100,2203,52.08,-0.09
101,1029,51.82,19.15
102,326,52.62,1.33
103,1956,52.1,6.1
104,1262,50.93,12.4
105,1788,50.71,7.08
106,1363,48.72,9.23
107,985,52.13,11.62
108,2087,47.78,13.04
109,986,49.95,12.71
110,137,48.51,9.06
111,1762,48.66,8.13
112,1584,49.78,18.17
113,589,48.11,-2.86
114,1903,48.45,9.09
115,2393,53.17,10.35
116,2244,49.44,26.99
117,1793,49.63,6.28
118,680,48.22,16.46
119,1630,43.47,-3.72
120,2394,50.97,14.07
121,1808,51.18,-0.84
122,344,51.6,4.7
123,2497,54.6,9.65
124,1885,51.93,7.97
125,876,50.6,8.96
126,2225,52.5,6.05
127,554,54.69,25.1
128,2132,52.1,5.35
129,1547,52.4,12.98
130,1326,46.81,15.87
131,706,42.31,9.14
132,712,53.05,6.6
133,1452,43.54,16.48
134,672,52.45,6.4
135,1274,51.45,5.7
136,1828,45.42,11.46
137,528,50.4,-5.1
138,1569,52.15,6.25
139,2088,45.33,14.43
140,1960,49.39,6.28
141,473,52.2,6.1
142,2248,49.99,8.48
143,2002,51.8,4.85
144,1149,48.17,17.15
145,2037,39.63,-8.68
146,2313,49.24,8.54
147,2407,45.61,1.24
148,2234,50.93,-0.28
149,458,51.46,7.02
150,831,52.08,5.52
151,1078,51.45,5.6
152,919,51.2,3.85
153,1562,52.91,11.32
154,2283,48.84,14.71
155,1313,45.52,10.25
156,185,52.24,5.21
157,413,51.95,4.95
158,627,50.79,4.34
159,1333,47.56,7.64
160,2253,40.02,-0.65
161,1899,51.18,6.72
162,779,50.27,19.02
163,1561,52.84,13.84
164,564,47.81,1.92
165,794,51.45,3.8
166,1415,52.05,6.35
167,1370,51.23,13.41
168,160,50.67,7.17
169,617,52.26,9.65
170,357,49.61,6.14
171,279,47.61,7.54
172,270,54.49,18.43
173,2266,46.96,16.16
174,618,51.7,0.64
175,1905,52.1,6.25
176,337,47.67,19.28
177,2482,52.15,6.2
178,539,52,5.4
179,981,48.25,3.36
180,956,51.8,4.55
181,1781,52.49,13.34
182,1690,52.15,6.9
183,1522,47.28,10.95
184,1445,51.8,4.55
185,1081,50.83,15.54
186,2211,52.35,6.8
187,2286,47.82,13.13
188,1697,42.14,12.07
189,1413,48.14,11.45
190,117,49.18,16.62
191,648,47.97,7.8
192,1079,47.15,18.67
193,1241,52.88,-1.57
194,1706,46.56,15.64
195,873,47.7,18.31
196,757,39.77,-8.72
197,1965,48.29,2.61
198,988,51.11,17.08
199,711,51.25,3.9
200,1492,51.72,-0.19
201,1234,50.48,4.23
202,349,37.32,-8.62
203,1425,52.1,4.95
204,2375,52.42,13.11
205,386,52.1,4.45
206,1165,43.17,-0.61
207,2072,52.4,6.1
208,1987,51.95,5.65
209,1154,50.57,8.75
210,2213,42.4,11.37
211,1727,54.16,10.18
212,1612,36.73,-4.41
213,1401,48.03,16.04
214,2218,50.85,5.95
215,1469,50.86,7.34
216,710,52.24,17.06
217,1258,43.76,11.27
218,2112,59.47,15.18
219,2128,51.55,5.25
220,2430,51.48,-0.29
221,1347,48.82,4.96
222,791,52.1,5.15
223,2293,52.3,5.6
224,2471,48.55,16.36
225,1341,51.95,5.2
226,807,50.92,6.81
227,1246,50.19,10.3
228,1311,57.05,10.38
229,1758,41.95,13.01
230,292,56.87,13.56
231,1250,51.33,12.07
232,1814,48.56,16.1
233,1708,47.94,-4
234,297,50.21,16
235,860,51.58,0.42
236,605,52.5,6.1
237,1835,51.25,3.45
238,1261,52.15,6.7
239,2411,38.79,-9.31
240,2408,60.21,17.78
241,1057,45.45,1.13
242,83,44.26,10.94
243,866,44.91,11.67
244,1023,49.84,18.29
245,76,48.53,4.77
246,1118,51.25,3.9
247,2163,53.36,6.33
248,2288,50.74,-2.82
249,1382,52.25,4.5
250,682,40.31,-5.86
251,2435,51.95,5.65
252,2348,51.18,-3.51
253,989,56,21.1
254,1961,40.54,-4.09
255,1738,44.04,4.42
256,1471,48.27,21.35
257,1362,46.45,11.3
